HomeTeam,AwayTeam,HomeGoal,AwayGoal,HomeShot,AwayShot,HomeShotOnTarget,AwayShotOnTarget,GoalDifference,Result,HomeShotQuality,AwayShotQuality,HomeShotConversion,AwayShotConversion
Sheffield United,Fulham,1,1,10.0,15.0,6.0,6.0,0,Draw,60.0,40.0,10.0,6.666666666666667
Crystal Palace,Brighton,1,1,1.0,20.0,1.0,3.0,0,Draw,100.0,15.0,100.0,5.0
Tottenham,West Ham,3,3,11.0,13.0,6.0,4.0,0,Draw,54.54545454545454,30.76923076923077,27.27272727272727,23.076923076923077
Leicester,Aston Villa,0,1,11.0,10.0,5.0,4.0,-1,Away Wins,45.45454545454545,40.0,0.0,10.0
West Brom,Burnley,0,0,13.0,9.0,6.0,4.0,0,Draw,46.15384615384615,44.44444444444444,0.0,0.0
Leeds,Wolves,0,1,13.0,7.0,2.0,3.0,-1,Away Wins,15.384615384615385,42.857142857142854,0.0,14.285714285714285
Aston Villa,Leeds,0,3,12.0,27.0,4.0,9.0,-3,Away Wins,33.33333333333333,33.33333333333333,0.0,11.11111111111111
West Ham,Man City,1,1,6.0,14.0,2.0,7.0,0,Draw,33.33333333333333,50.0,16.666666666666664,7.142857142857142
Fulham,Crystal Palace,1,2,16.0,14.0,3.0,10.0,-1,Away Wins,18.75,71.42857142857143,6.25,14.285714285714285
Man United,Chelsea,0,0,14.0,6.0,4.0,1.0,0,Draw,28.57142857142857,16.666666666666664,0.0,0.0
Liverpool,Sheffield United,2,1,17.0,13.0,5.0,2.0,1,Home Wins,29.411764705882355,15.384615384615385,11.76470588235294,7.6923076923076925
Southampton,Everton,2,0,12.0,6.0,6.0,2.0,2,Home Wins,50.0,33.33333333333333,16.666666666666664,0.0
Wolves,Newcastle,1,1,16.0,5.0,3.0,2.0,0,Draw,18.75,40.0,6.25,20.0
Arsenal,Leicester,0,1,12.0,6.0,4.0,2.0,-1,Away Wins,33.33333333333333,33.33333333333333,0.0,16.666666666666664
Brighton,West Brom,1,1,5.0,9.0,3.0,3.0,0,Draw,60.0,33.33333333333333,20.0,11.11111111111111
Burnley,Tottenham,0,1,13.0,9.0,4.0,3.0,-1,Away Wins,30.76923076923077,33.33333333333333,0.0,11.11111111111111
Wolves,Crystal Palace,2,0,15.0,11.0,5.0,2.0,2,Home Wins,33.33333333333333,18.181818181818183,13.333333333333334,0.0
Sheffield United,Man City,0,1,5.0,16.0,1.0,8.0,-1,Away Wins,20.0,50.0,0.0,6.25
Burnley,Chelsea,0,3,5.0,14.0,0.0,9.0,-3,Away Wins,0.0,64.28571428571429,0.0,21.428571428571427
Liverpool,West Ham,2,1,9.0,4.0,5.0,3.0,1,Home Wins,55.55555555555556,75.0,22.22222222222222,25.0
Aston Villa,Southampton,3,4,19.0,9.0,10.0,4.0,-1,Away Wins,52.63157894736842,44.44444444444444,15.789473684210526,44.44444444444444
Newcastle,Everton,2,1,11.0,15.0,4.0,4.0,1,Home Wins,36.36363636363637,26.666666666666668,18.181818181818183,6.666666666666667
Man United,Arsenal,0,1,8.0,7.0,2.0,2.0,-1,Away Wins,25.0,28.57142857142857,0.0,14.285714285714285
